t_01269680-99c3-4ab4-9df3-23901e0623c9	1	5
t_222ac48a-a52e-401a-a1c9-b2436edd8096	5	7
t_222ac48a-a52e-401a-a1c9-b2436edd8096	20	7
t_38454270-bfca-4263-8513-3fb4a05fd376	2	3
t_d61bd2b1-d554-406f-afb9-5a745a7a9ad1	4	7
t_d61bd2b1-d554-406f-afb9-5a745a7a9ad1	14	7
t_d61bd2b1-d554-406f-afb9-5a745a7a9ad1	16	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	0	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	2	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	4	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	6	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	18	7
t_16c24f06-0def-4fc5-9e47-7789d93a84d4	20	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	5	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	7	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	9	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	11	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	13	7
t_627b1554-1831-4fd3-999e-31852c1e9e3b	19	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	7	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	8	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	9	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	12	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	14	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	17	7
t_5b13346f-0d4b-4e90-a722-a9928b88f277	18	7
t_d529bdce-9d9a-429b-9e7f-7c51fdd9d1b4	3	7
t_a767af2e-018a-4c06-beb3-1ddff22f2048	2	7
t_a767af2e-018a-4c06-beb3-1ddff22f2048	3	7
t_a767af2e-018a-4c06-beb3-1ddff22f2048	4	7
t_ffa72db2-8ba9-4469-940c-739abf2b54bb	0	8
t_ffa72db2-8ba9-4469-940c-739abf2b54bb	2	8
t_ffa72db2-8ba9-4469-940c-739abf2b54bb	3	8
t_ffa72db2-8ba9-4469-940c-739abf2b54bb	4	8
t_ffa72db2-8ba9-4469-940c-739abf2b54bb	18	7
t_74482268-77d3-4163-a15e-eeff030f9a26	20	6
